n_qubits,dimension,trials,fidelity_mean,fidelity_std,fidelity_min,fidelity_max,runtime_mean,runtime_std,memory_kb_mean,memory_kb_std,n_layers,seed
1,2,20,0.6044410183090553,0.2688074351847206,0.04282183281888575,1.0,0.2470549999998184,0.5219185774347823,0.03125,0.0,1,42
2,4,20,0.21360834038843685,0.1766388862966161,0.009875323784498465,0.6771260780929497,0.08265999998684492,0.032349349291758214,0.0625,0.0,1,42
3,8,20,0.11846810212557916,0.09167990189344527,0.003147854251529583,0.3116097825730078,0.11826499999756379,0.06961306109036754,0.125,0.0,1,42
4,16,20,0.07926183893808239,0.10087566104701076,7.061374726661599e-06,0.443166717936761,0.10854499998345091,0.032311785402316336,0.25,0.0,1,42
5,32,20,0.04639102235009896,0.039255032111698195,0.006656175032972482,0.14848400356463304,0.0575050000122701,0.015431347165520755,0.5,0.0,1,42
6,64,20,0.015620936533027666,0.013658106144631496,0.0003445349870266871,0.05184251363592593,0.051490000004150716,0.008550432755180012,1.0,0.0,1,42
7,128,20,0.014233593740289912,0.010969830545887045,0.0008214784843734362,0.0330949890077433,0.06695000000149776,0.018336861785721414,2.0,0.0,1,42
8,256,20,0.005258078472709133,0.004244313514330442,0.00035238577715691443,0.017049309282545746,0.10337500000332511,0.06365407194286939,4.0,0.0,1,42
9,512,20,0.0022000293658127738,0.0014890482297476872,2.5611305329541496e-05,0.0053520925703095185,0.07169499999122309,0.013158779395698861,8.0,0.0,1,42
10,1024,20,0.00099476387322801,0.0006725811916716792,3.424616856973231e-05,0.0026059719568547342,0.06034000000454398,0.016839043901415385,16.0,0.0,1,42
